50 200 1
0	70	70	0	0	634	0	0	0
1	10	86	14	351	501	0	0	202	10	86	351	501	10	
2	16	62	15	336	486	10	0	76	18	70	331	481	10	
3	79	72	22	9	159	10	0	57	109	71	39	189	10	
4	16	39	20	62	212	10	0	26	17	37	62	212	10	
5	61	54	10	18	168	10	0	80	107	25	214	364	10	
6	85	106	20	39	189	10	0	12	87	108	41	191	10	
7	61	48	20	23	173	10	0	180	86	37	36	186	10	
8	112	67	10	42	192	10	0	154	86	80	314	464	10	
9	99	28	30	51	201	10	0	44	97	12	146	296	10	
10	15	9	2	350	500	10	0	39	61	34	413	563	10	
11	19	37	20	66	216	10	0	186	22	38	101	251	10	
12	90	101	10	95	245	10	0	166	91	95	111	261	10	
13	125	68	20	132	282	10	0	91	126	23	203	353	10	
14	127	108	10	75	225	10	0	117	125	108	87	237	10	
15	90	44	6	32	182	10	0	156	93	36	41	191	10	
16	63	57	10	14	164	10	0	124	88	35	39	189	10	
17	94	104	10	68	218	10	0	189	118	131	104	254	10	
18	58	95	35	425	575	0	0	203	58	95	425	575	10	
19	137	96	9	71	221	10	0	86	118	108	115	265	10	
20	20	69	13	318	468	0	0	208	20	69	318	468	10	
21	86	102	10	35	185	10	0	59	91	108	43	193	10	
22	126	112	10	70	220	10	0	108	123	112	67	217	10	
23	86	36	20	37	187	10	0	190	108	30	55	205	10	
24	66	40	20	30	180	10	0	10	6	25	78	228	10	
25	87	39	20	35	185	10	0	131	89	39	36	186	10	
26	63	50	10	21	171	10	0	146	33	0	395	545	10	
27	137	101	12	109	259	10	0	45	121	112	66	216	10	
28	70	94	32	24	174	10	0	87	50	112	172	322	10	
29	122	113	20	67	217	10	0	114	121	110	101	251	10	
30	35	102	10	112	262	10	0	176	32	106	74	224	10	
31	8	87	17	341	491	10	0	175	34	72	438	588	10	
32	16	38	20	62	212	10	0	159	18	38	61	211	10	
33	44	36	9	42	192	10	0	46	19	39	78	228	10	
34	109	139	8	79	229	10	0	128	115	134	78	228	10	
35	99	26	40	52	202	10	0	103	69	6	64	214	10	
36	34	108	10	61	211	10	0	137	19	120	201	351	10	
37	36	124	34	174	324	10	0	17	50	106	260	410	10	
38	102	60	30	75	225	10	0	194	103	86	198	348	10	
39	139	110	19	131	281	10	0	32	127	112	70	220	10	
40	10	111	21	402	552	0	0	209	10	111	402	552	10	
41	4	28	10	84	234	10	0	93	39	13	316	466	10	
42	57	53	10	34	184	10	0	174	47	83	258	408	10	
43	84	88	16	296	446	0	0	201	84	88	296	446	10	
44	44	116	27	52	202	10	0	121	56	129	227	377	10	
45	82	100	18	44	194	10	0	100	84	99	32	182	10	
46	83	12	29	170	320	10	0	79	54	41	221	371	10	
47	85	75	37	15	165	10	0	81	110	99	243	393	10	
48	120	136	10	82	232	10	0	192	133	130	162	312	10	
49	105	2	1	164	314	10	0	83	101	0	398	548	10	
50	119	136	30	82	232	10	0	101	137	127	136	286	10	
51	95	35	10	43	193	10	0	196	99	34	46	196	10	
52	1	24	10	82	232	10	0	170	15	4	85	235	10	
53	31	112	20	57	207	10	0	118	21	115	66	216	10	
54	100	99	17	239	389	10	0	66	80	103	312	462	10	
55	92	22	18	130	280	10	0	36	88	29	430	580	10	
56	121	124	21	90	240	10	0	50	121	123	197	347	10	
57	34	104	10	87	237	10	0	191	36	105	99	249	10	
58	56	139	18	250	400	10	0	11	37	125	283	433	10	
59	106	10	13	239	389	10	0	148	112	13	404	554	10	
60	110	66	10	45	195	10	0	40	113	69	43	193	10	
61	36	38	5	378	528	0	0	206	36	38	378	528	10	
62	116	132	10	117	267	0	0	205	116	132	117	267	10	
63	113	45	4	239	389	0	0	210	113	45	239	389	10	
64	28	107	20	55	205	10	0	97	35	90	386	536	10	
65	116	83	30	119	269	10	0	55	117	92	223	373	10	
66	59	52	20	22	172	10	0	3	84	36	42	192	10	
67	112	71	20	42	192	10	0	198	140	36	116	266	10	
68	35	99	20	125	275	10	0	84	28	99	51	201	10	
69	84	39	20	55	205	10	0	15	97	29	49	199	10	
70	20	39	10	89	239	10	0	185	13	48	360	510	10	
71	66	91	16	21	171	10	0	123	8	138	231	381	10	
72	78	63	19	10	160	10	0	183	98	31	48	198	10	
73	92	107	30	43	193	10	0	139	90	104	82	232	10	
74	120	14	20	199	349	10	0	111	137	7	96	246	10	
75	113	71	10	43	193	10	0	106	138	78	142	292	10	
76	41	36	13	44	194	10	0	122	4	30	96	246	10	
